"barrels08","city08","highway08","comb08","co2TailpipeGpm","cylinders","displ","drive","fuelCost08","fuelType","id","make","model","mpgData","pv2","pv4","trany","VClass","year"
17.3478947368421,16,24,19,467.736842105263,8,4.2,"All-Wheel Drive","2700","Premium",26339,"Audi","S5","N","84","0","Automatic (S6)","Subcompact Cars","2010"
18.3116666666667,15,22,18,493.722222222222,8,4.8,"Rear-Wheel Drive","2850","Premium",26340,"BMW","650ci","N","82","0","Manual 6-spd","Subcompact Cars","2010"
18.3116666666667,15,23,18,493.722222222222,8,4.8,"Rear-Wheel Drive","2850","Premium",26341,"BMW","650ci","N","82","0","Automatic (S6)","Subcompact Cars","2010"
20.600625,14,21,16,555.4375,8,4.8,"Rear-Wheel Drive","3200","Premium",26342,"BMW","650ci Convertible","N","82","0","Manual 6-spd","Subcompact Cars","2010"
18.3116666666667,15,23,18,493.722222222222,8,4.8,"Rear-Wheel Drive","2850","Premium",26343,"BMW","650ci Convertible","N","82","0","Automatic (S6)","Subcompact Cars","2010"
25.3546153846154,11,17,13,683.615384615385,10,5,"Rear-Wheel Drive","3950","Premium",26344,"BMW","M6","N","82","0","Manual 6-spd","Subcompact Cars","2010"
25.3546153846154,11,17,13,683.615384615385,10,5,"Rear-Wheel Drive","3950","Premium",26345,"BMW","M6","N","82","0","Automatic (S7)","Subcompact Cars","2010"
25.3546153846154,11,17,13,683.615384615385,10,5,"Rear-Wheel Drive","3950","Premium",26346,"BMW","M6 Convertible","N","82","0","Manual 6-spd","Subcompact Cars","2010"
25.3546153846154,11,17,13,683.615384615385,10,5,"Rear-Wheel Drive","3950","Premium",26347,"BMW","M6 Convertible","N","82","0","Automatic (S7)","Subcompact Cars","2010"
17.3478947368421,16,24,19,467.736842105263,6,4,"Rear-Wheel Drive","2250","Regular",26348,"Ford","Mustang","Y","85","0","Automatic 5-spd","Subcompact Cars","2010"
15.6957142857143,18,26,21,423.190476190476,6,4,"Rear-Wheel Drive","2000","Regular",26349,"Ford","Mustang","N","85","0","Manual 5-spd","Subcompact Cars","2010"
17.3478947368421,17,23,19,467.736842105263,8,4.6,"Rear-Wheel Drive","2250","Regular",26350,"Ford","Mustang","Y","85","0","Automatic 5-spd","Subcompact Cars","2010"
17.3478947368421,16,24,19,467.736842105263,8,4.6,"Rear-Wheel Drive","2250","Regular",26351,"Ford","Mustang","N","85","0","Manual 5-spd","Subcompact Cars","2010"
19.3888235294118,14,22,17,522.764705882353,8,5.4,"Rear-Wheel Drive","3050","Premium",26352,"Ford","Mustang","N","85","0","Manual 6-spd","Subcompact Cars","2010"
14.3308695652174,20,30,23,386.391304347826,4,2,"Rear-Wheel Drive","1850","Regular",26353,"Hyundai","Genesis Coupe","Y","89","0","Automatic 5-spd","Subcompact Cars","2010"
13.73375,21,30,24,370.291666666667,4,2,"Rear-Wheel Drive","1750","Regular",26354,"Hyundai","Genesis Coupe","Y","89","0","Manual 6-spd","Subcompact Cars","2010"
15.6957142857143,17,27,21,423.190476190476,6,3.8,"Rear-Wheel Drive","2000","Regular",26355,"Hyundai","Genesis Coupe","N","89","0","Automatic 6-spd","Subcompact Cars","2010"
16.4805,17,26,20,444.35,6,3.8,"Rear-Wheel Drive","2100","Regular",26356,"Hyundai","Genesis Coupe","Y","89","0","Manual 6-spd","Subcompact Cars","2010"
